time,data
2017-05-25 15:07:29,5.01915
2017-05-25 15:07:31,5.0195
2017-05-25 15:07:32,5.0196
2017-05-25 15:07:33,5.0196
2017-05-25 15:07:34,5.0196
2017-05-25 15:07:35,5.0197
2017-05-25 15:07:36,5.0195
2017-05-25 15:07:37,5.01935
2017-05-25 15:07:38,5.0192
2017-05-25 15:07:39,5.0191
2017-05-25 15:07:40,5.01915
2017-05-25 15:07:41,5.0192
2017-05-25 15:07:42,5.0192
2017-05-25 15:07:43,5.0193
2017-05-25 15:07:44,5.01925
2017-05-25 15:07:45,5.0192
2017-05-25 15:07:47,5.01925
2017-05-25 15:07:48,5.0193
2017-05-25 15:07:50,5.0192
2017-05-25 15:07:51,5.0188
2017-05-25 15:07:53,5.01875
2017-05-25 15:07:54,5.01855
2017-05-25 15:07:55,5.0186
2017-05-25 15:07:56,5.01865
2017-05-25 15:07:57,5.0187
2017-05-25 15:08:00,5.0189
2017-05-25 15:08:02,5.0188
2017-05-25 15:08:03,5.01855
2017-05-25 15:08:05,5.0186
2017-05-25 15:08:06,5.01855
2017-05-25 15:08:09,5.0185
2017-05-25 15:08:10,5.0186
2017-05-25 15:08:11,5.0187
2017-05-25 15:08:14,5.0188
2017-05-25 15:08:15,5.0187
2017-05-25 15:08:18,5.01875
2017-05-25 15:08:19,5.019
2017-05-25 15:08:20,5.0188
2017-05-25 15:08:21,5.019
2017-05-25 15:08:22,5.01895
2017-05-25 15:08:23,5.019
2017-05-25 15:08:24,5.01905
2017-05-25 15:08:27,5.0191
2017-05-25 15:08:28,5.0192
2017-05-25 15:08:29,5.0194
2017-05-25 15:08:30,5.0193
2017-05-25 15:08:31,5.01935
2017-05-25 15:08:32,5.01945
2017-05-25 15:08:33,5.0195
2017-05-25 15:08:34,5.01955
2017-05-25 15:08:35,5.0193
2017-05-25 15:08:36,5.01925
2017-05-25 15:08:41,5.0194
2017-05-25 15:08:45,5.01915
2017-05-25 15:08:46,5.0192
2017-05-25 15:08:47,5.0193
2017-05-25 15:08:49,5.01915
2017-05-25 15:08:50,5.01905
2017-05-25 15:08:51,5.01905
2017-05-25 15:08:52,5.0192
2017-05-25 15:08:53,5.01925
2017-05-25 15:08:54,5.01955
2017-05-25 15:08:55,5.0198
2017-05-25 15:08:56,5.02
2017-05-25 15:08:58,5.0201
2017-05-25 15:08:59,5.02005
2017-05-25 15:09:01,5.0201
2017-05-25 15:09:02,5.01975
2017-05-25 15:09:03,5.01955
2017-05-25 15:09:04,5.0196
2017-05-25 15:09:06,5.0194
2017-05-25 15:09:07,5.0196
2017-05-25 15:09:08,5.0196
2017-05-25 15:09:11,5.01955
2017-05-25 15:09:12,5.0195
2017-05-25 15:09:13,5.0195
2017-05-25 15:09:14,5.01965
2017-05-25 15:09:15,5.01955
2017-05-25 15:09:16,5.01935
2017-05-25 15:09:17,5.0194
2017-05-25 15:09:18,5.01935
2017-05-25 15:09:19,5.0194
2017-05-25 15:09:20,5.0194
2017-05-25 15:09:22,5.01945
2017-05-25 15:09:23,5.01955
2017-05-25 15:09:24,5.0196
2017-05-25 15:09:26,5.01995
2017-05-25 15:09:27,5.01995
2017-05-25 15:09:28,5.02
2017-05-25 15:09:29,5.02005
2017-05-25 15:09:30,5.02
2017-05-25 15:09:31,5.02005
2017-05-25 15:09:32,5.0202
2017-05-25 15:09:33,5.0202
2017-05-25 15:09:34,5.0203
2017-05-25 15:09:35,5.02025
2017-05-25 15:09:37,5.0202
2017-05-25 15:09:38,5.0201
2017-05-25 15:09:39,5.02
2017-05-25 15:09:42,5.01995
2017-05-25 15:09:43,5.0199
2017-05-25 15:09:45,5.01985
2017-05-25 15:09:46,5.0202
2017-05-25 15:09:47,5.0201
2017-05-25 15:09:48,5.02005
2017-05-25 15:09:49,5.0205
2017-05-25 15:09:53,5.0204
2017-05-25 15:09:54,5.0204
2017-05-25 15:09:55,5.0203
2017-05-25 15:09:56,5.02035
2017-05-25 15:09:57,5.0204
2017-05-25 15:09:58,5.0204
2017-05-25 15:09:59,5.02035
2017-05-25 15:10:00,5.02035
2017-05-25 15:10:01,5.0203
2017-05-25 15:10:02,5.0202
2017-05-25 15:10:03,5.0201
2017-05-25 15:10:04,5.02025
2017-05-25 15:10:05,5.0203
2017-05-25 15:10:07,5.02035
2017-05-25 15:10:08,5.0203
2017-05-25 15:10:09,5.0204
2017-05-25 15:10:10,5.02045
2017-05-25 15:10:14,5.02035
2017-05-25 15:10:15,5.0203
2017-05-25 15:10:17,5.02035
2017-05-25 15:10:18,5.02005
2017-05-25 15:10:19,5.02
2017-05-25 15:10:22,5.0199
2017-05-25 15:10:23,5.01975
2017-05-25 15:10:24,5.0197
2017-05-25 15:10:25,5.0195
2017-05-25 15:10:26,5.01955
2017-05-25 15:10:27,5.0195
2017-05-25 15:10:28,5.01955
2017-05-25 15:10:30,5.0195
2017-05-25 15:10:31,5.01945
2017-05-25 15:10:33,5.0194
2017-05-25 15:10:34,5.01945
2017-05-25 15:10:35,5.01945
2017-05-25 15:10:36,5.01945
2017-05-25 15:10:37,5.0195
2017-05-25 15:10:38,5.01925
2017-05-25 15:10:39,5.0192
2017-05-25 15:10:40,5.01915
2017-05-25 15:10:41,5.0192
2017-05-25 15:10:42,5.0192
2017-05-25 15:10:44,5.01915
2017-05-25 15:10:45,5.01915
2017-05-25 15:10:46,5.01935
2017-05-25 15:10:48,5.0193
2017-05-25 15:10:49,5.0193
2017-05-25 15:10:52,5.01935
2017-05-25 15:10:53,5.0194
2017-05-25 15:10:57,5.01935
2017-05-25 15:10:58,5.01935
2017-05-25 15:10:59,5.01945
2017-05-25 15:11:00,5.0195
2017-05-25 15:11:01,5.0194
2017-05-25 15:11:03,5.01945
2017-05-25 15:11:04,5.01945
2017-05-25 15:11:05,5.0194
